id,PositionTitle,Designation,Agency,Locations,VacancyType,Vacancy6MonthsOrLess,EmploymentCategory,NumberOfVacancies,NumberOfVacancies Several ,NumberOfApplicants,NumberOfSuccessfulApplicants
176163,Data Warehouse Developer,ADMINISTRATIVE OFFICER 6,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,YES,"Information and Communication Technology (ICT), Administration and Business Services",1,,3,0
176164,Data Analyst,ADMINISTRATIVE OFFICER 6,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,Information and Communication Technology (ICT),1,,30,0
176165,Senior Manager Business Intelligence,SENIOR ADMINISTRATIVE OFFICER 1,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,YES,"Executive and Senior Management, Information and Communication Technology (ICT), Administration and Business Services",1,,4,0
176166,Director Data Collection and Reporting,SENIOR ADMINISTRATIVE OFFICER 2,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,YES,"Executive and Senior Management, Information and Communication Technology (ICT), Administration and Business Services",1,,2,0
176167,Speech Pathologist,PROFESSIONAL 2,Department of Health,Katherine,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Medical, Professional",1,,3,1
176169,Director Business Intelligence Systems,SENIOR ADMINISTRATIVE OFFICER 2,Department of Corporate and Digital Development ,Darwin,Ongoing (Permanent) - Full Time,,"Executive and Senior Management, Information and Communication Technology (ICT), Administration and Business Services",1,,4,1
176172,Business Services Support Officer,ADMINISTRATIVE OFFICER 3,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,YES,Administration and Business Services,1,,41,2
176174,Asset Services Officer,ADMINISTRATIVE OFFICER 4,"NT Police, Fire and Emergency Services",Alice Springs,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Information and Records Management, Procurement, Grants and Contract Management",1,,23,1
176175,Team Leader,PROFESSIONAL 3,Territory Families,Darwin,Ongoing (Permanent) - Full Time,,"Child Protection, Community Services, Professional, Social Work",1,,7,2
176176,Clinical Nurse Specialist,NURSE LEVEL 3 RDO,Department of Health,Katherine,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,1,0
176177,Aborgiinal Health Practitioner,ATP3 (CLOSED FOR NORMAL USE),Department of Health,Robinson River,Ongoing (Permanent) - Full Time,,Allied Health and Health Care Services,1,,0,0
176178,Parole Board Administrator,ADMINISTRATIVE OFFICER 4,Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Legal",1,,34,1
176182,Grounds Maintenance Officer,PHYSICAL 3 - RDO,Department of Education,Katherine,Fixed (Temporary) - Full Time,YES,"Education and Training, Trades, Maintenance and Services",1,,0,0
176184,Mining Officer,PROFESSIONAL 2,"Department of Industry, Tourism and Trade",Darwin,Ongoing (Permanent) - Full Time,,"Engineering, Environment, Natural Resources and Conservation, Science, Professional",1,,20,1
176188,Family Violence Program Facilitator,ADMINISTRATIVE OFFICER 5,Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Full Time,YES,"Education and Training, Community Services",1,,15,1
176189,Executive Assistant,ADMINISTRATIVE OFFICER 3,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,2,,57,2
176194,Category Manager,PWC BAND 4 ADMIN CORPORATE SERVICES FT,Power and Water Corporation,Darwin,Fixed (Temporary) - Full Time,,"Procurement, Grants and Contract Management, Accounting and Finance, Administration and Business Services",1,,19,0
176195,Clinical Midwife/Nurse Educator (Maternal and Women’s Health),NURSE LEVEL 4,Department of Health,Darwin,Fixed (Temporary) - Full Time,YES,"Allied Health and Health Care Services, Community Services, Nursing and Midwifery, Medical",1,,1,1
176198,Lawyer,PROFESSIONAL 2,Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Full Time,,"Legal, Professional",1,,7,1
176206,Lawyer,PROFESSIONAL 2,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,"Legal, Professional",1,,10,2
176212,Pharmacy Technician,TECHNICAL 1,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Medical",1,,16,1
176215,Services Development Officer,PWC TECHNICAL SPECIALIST,Power and Water Corporation,Darwin,Fixed (Temporary) - Full Time,,Professional,1,,8,1
176217,Manager Local Jobs Fund,SENIOR ADMINISTRATIVE OFFICER 1,Department of Trade Business and Innovation,Darwin,Fixed (Temporary) - Full Time,,"Accounting and Finance, Administration and Business Services",1,,0,0
176218,Senior Small Business Champion,ADMINISTRATIVE OFFICER 7,Department of Trade Business and Innovation,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Executive and Senior Management",1,,12,1
176220,Administration Manager,ADMINISTRATIVE OFFICER 5,Department of Education,Darwin,Fixed (Temporary) - Full Time,,"Accounting and Finance, Administration and Business Services, Education and Training",1,,22,1
176224,Placement Practitioner,PROFESSIONAL 1,Territory Families,Darwin,Ongoing (Permanent) - Full Time,,"Child Protection, Community Services, Professional, Social Work",1,,14,1
176227,ICT Manager,ADMINISTRATIVE OFFICER 6,Department of Education,Darwin,Fixed (Temporary) - Full Time,YES,"Education and Training, Information and Communication Technology (ICT), Administration and Business Services",1,,8,1
176228,Carer Services Practitioner,"PROFESSIONAL 1, PROFESSIONAL 2",Territory Families,Darwin,Ongoing (Permanent) - Full Time,,"Child Protection, Social Work, Community Services, Professional",,Several,29,3
176233,Administrative and Project Support Officer,ADMINISTRATIVE OFFICER 3,Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Program and Project Management",1,,36,0
176248,Project Director Connected Beginnings,SENIOR ADMINISTRATIVE OFFICER 2,Department of Education,"Darwin, Angurugu, Elcho Isl-Galiwinku",Fixed (Temporary) - Full Time,,"Community Services, Education and Training, Program and Project Management",1,,8,1
176267,Executive Director School Improvement and Leadership,EXECUTIVE OFFICER 3 - EXECUTIVE CONTRACT,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,,"Executive and Senior Management, Education and Training",1,,6,0
176269,Ward Clerk,ADMINISTRATIVE OFFICER 3,Department of Health,"Darwin, Palmerston",Ongoing (Permanent) - Full Time,,"Administration and Business Services, Allied Health and Health Care Services",,Several,191,2
176272,Assistant Principal,SENIOR TEACHER 3,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,Education and Training,1,,14,1
176275,Registered Nurse - Bachelor of Midwifery Employed Model Student,NURSE LEVEL 2,Department of Health,Alice Springs,Fixed (Temporary) - Part Time,,Nursing and Midwifery,2,,10,2
176294,Administration Officer,ADMINISTRATIVE OFFICER 2,Department of Health,Angurugu,Fixed (Temporary) - Full Time,,Administration and Business Services,1,,5,0
176303,Manager Strategy,SENIOR ADMINISTRATIVE OFFICER 1,Territory Families,Darwin,Ongoing (Permanent) - Full Time,,"Child Protection, Community Services, Program and Project Management, Administration and Business Services",1,,7,1
176308,Team Leader - Forensic Biology ,SENIOR PROFESSIONAL OFFICER 1,"NT Police, Fire and Emergency Services",Darwin,Ongoing (Permanent) - Full Time,,"Science, Professional",1,,5,1
176314,Business Services Manager ,ADMINISTRATIVE OFFICER 6,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Accounting and Finance",1,,10,1
176316,Maintenance Officer,PHYSICAL 3,Department of Education,Palmerston,Ongoing (Permanent) - Full Time,,"Education and Training, Trades, Maintenance and Services",1,,21,1
176321,Senior WorkSafe Inspector,ADMINISTRATIVE OFFICER 6,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,"Human Resources and Work Health Safety, Administration and Business Services",1,,28,0
176324,Executive Assistant,ADMINISTRATIVE OFFICER 4,Territory Families,Darwin,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Administration and Business Services",1,,39,1
176335,Teaching Principal ,PRINCIPALS (NON CONTRACT) TP1,Department of Education,Wallace Rockhole,Fixed (Temporary) - Full Time,,Education and Training,1,,6,0
176337,Teaching Principal,PRINCIPALS (NON CONTRACT) TP2,Department of Education,Ammaroo,Fixed (Temporary) - Full Time,YES,Education and Training,1,,3,1
176338,Nurse Clinical Coordinator Diabetes Educator,NURSE LEVEL 5,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,4,1
176341,"Manager, Performance Reporting and Decision Support",SENIOR ADMINISTRATIVE OFFICER 1,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Executive and Senior Management",1,,5,0
176344,Senior Human Resources Analyst,SENIOR ADMINISTRATIVE OFFICER 1,Department of Health,Darwin,Fixed (Temporary) - Full Time,YES,"Administration and Business Services, Human Resources and Work Health Safety",1,,7,0
176346,Remote Outreach Midwife,NURSE LEVEL 4,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,3,1
176353,Senior Project Administrator,ADMINISTRATIVE OFFICER 5,"Department of Infrastructure, Planning and Logistics",Palmerston,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Procurement, Grants and Contract Management, Program and Project Management",1,,17,1
176354,"Child and Family Health Nurse, Healthy Under 5's",NURSE LEVEL 4,Department of Health,"Numbulwar, Umbakumba",Fixed (Temporary) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",2,,2,0
176358,Integrated Early Childhood Services Leader ,SENIOR ADMINISTRATIVE OFFICER 1,Department of Education,Ngukurr-Roper River,Ongoing (Permanent) - Full Time,,"Education and Training, Administration and Business Services",1,,2,1
176363,Primary Health Care Nurse,"NURSE LEVEL 3, NURSE LEVEL 4",Department of Health,"Adelaide River, Batchelor, Borroloola, Maningrida, Numbulwar, Wadeye-Port Keats, Warruwi",Fixed (Temporary) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",,Several,17,3
176368,Manager Travel,ADMINISTRATIVE OFFICER 4,"NT Police, Fire and Emergency Services",Darwin,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Administration and Business Services",1,,37,1
176372,Professional Learning Team Leader - Health Physical Education and Food Technology,SENIOR TEACHER 1,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,Education and Training,1,,3,1
176376,District Manager Primary Health Care,NURSE LEVEL 6,Department of Health,Katherine,Ongoing (Permanent) - Full Time,,"Executive and Senior Management, Allied Health and Health Care Services",1,,9,1
176377,Clinical Nurse Specialist (Mental Health) ,NURSE LEVEL 4 RDO,Department of Health,Katherine,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,3,1
176380,Senior Specialist Mental Health Worker,PROFESSIONAL 3,Department of Health,Katherine,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Medical",1,,1,1
176382,School Psychologist,PROFESSIONAL 3,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,"Education and Training, Professional, Allied Health and Health Care Services",1,,1,1
176383,"Senior Teacher, Autism Spectrum",SENIOR TEACHER 1,Department of Education,Darwin,Fixed (Temporary) - Full Time,,Education and Training,1,,3,1
176384,Carer Services Practitioner,"PROFESSIONAL 1, PROFESSIONAL 2",Territory Families,Nhulunbuy,Ongoing (Permanent) - Full Time,,"Child Protection, Community Services, Professional, Social Work",1,,12,0
176390,Senior Manager Policy and Programs,SENIOR ADMINISTRATIVE OFFICER 1,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Education and Training",1,,12,1
176395,Families as First Teachers Family Educator,SENIOR TEACHER 1,Department of Education,Yuendumu,Fixed (Temporary) - Full Time,,Education and Training,1,,2,1
176397,Principal,PRINCIPALS (NON CONTRACT) PL1,Department of Education,Epenarra-Wutunurrgur,Fixed (Temporary) - Full Time,,Education and Training,1,,7,0
176398,Teaching Principal,PRINCIPALS (NON CONTRACT) TP1,Department of Education,Urapunga,Ongoing (Permanent) - Full Time,,"Education and Training, Administration and Business Services, Human Resources and Work Health Safety",1,,5,1
176400,Teaching Principal,PRINCIPALS (NON CONTRACT) TP1,Department of Education,Yarralin,Fixed (Temporary) - Full Time,,Education and Training,1,,4,1
176401,Teaching Principal,PRINCIPALS (NON CONTRACT) TP1,Department of Education,Bulla,Fixed (Temporary) - Full Time,,Education and Training,1,,6,1
176402,Teaching Principal,PRINCIPALS (NON CONTRACT) TP1,Department of Education,Rockhampton Downs,Fixed (Temporary) - Full Time,YES,"Education and Training, Administration and Business Services",1,,2,0
176403,Workforce Training Coordinator,ADMINISTRATIVE OFFICER 6,Department of Trade Business and Innovation,Nhulunbuy,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Communication, Media and Public Relations, Education and Training",1,,12,1
176406,Medical Registrar - Basic Trainee ,REGISTRAR REG1-REG6,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Medical, Allied Health and Health Care Services",,Several,26,0
176408,Clinical Nurse ,NURSE LEVEL 3 RDO,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,6,1
176417,Manager Professional Conduct,SENIOR ADMINISTRATIVE OFFICER 1,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,"Education and Training, Administration and Business Services",1,,10,1
176418,Manager Policy and Secretariat,SENIOR ADMINISTRATIVE OFFICER 1,Department of Education,Darwin,Ongoing (Permanent) - Part Time,,"Education and Training, Administration and Business Services",1,,0,0
176420,Perioperative Services Supply Officer,ADMINISTRATIVE OFFICER 4,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Procurement, Grants and Contract Management",1,,19,1
176421,Teaching Schools Coordinator,SENIOR TEACHER 3,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,Education and Training,1,,21,0
176427,Teaching Principal,PRINCIPALS (NON CONTRACT) TP1,Department of Education,Alcoota (Engawala),Fixed (Temporary) - Full Time,,Education and Training,1,,5,0
176440,Business Manager Remote Schools,ADMINISTRATIVE OFFICER 5,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,,"Education and Training, Accounting and Finance, Administration and Business Services",1,,9,0
176441,Public Health Medicine Registrar,COMMUNITY MEDICAL OFFICER,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Medical, Allied Health and Health Care Services",1,,4,1
176442,Executive Assistant,ADMINISTRATIVE OFFICER 3,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,YES,"Administration and Business Services, Education and Training",1,,9,1
176444,School Psychologist,PROFESSIONAL 3,Department of Education,Darwin,Fixed (Temporary) - Full Time,,"Education and Training, Professional, Medical",1,,1,1
176446,Medical Scientist,PROFESSIONAL 2,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Aged and Disability Care, Medical, Professional, Science",1,,21,1
176449,Senior Programs Officer,ADMINISTRATIVE OFFICER 7,Department of the Chief Minister and Cabinet,Tennant Creek,Fixed (Temporary) - Full Time,,"Administration and Business Services, Program and Project Management",1,,5,1
176453,Territory Equipment Program Administration Officer,ADMINISTRATIVE OFFICER 4,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,YES,"Administration and Business Services, Allied Health and Health Care Services",1,,0,0
176475,Executive Assistant,ADMINISTRATIVE OFFICER 4,Department of Trade Business and Innovation,Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,35,1
176477,Senior Teacher - Primary,SENIOR TEACHER 1,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,Education and Training,1,,0,0
176487,NAPLAN Online Coach,SENIOR TEACHER 1,Department of Education,Darwin,Fixed (Temporary) - Full Time,,Education and Training,1,,7,1
176489,Special Education Support Officer,ADMINISTRATIVE OFFICER 4 92%,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,,"Administration and Business Services, Education and Training",,Several,21,6
176492,Manager Communications and Electronic Services,ADMINISTRATIVE OFFICER 7,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,YES,"Information and Communication Technology (ICT), Administration and Business Services, Human Resources and Work Health Safety, Program and Project Management",1,,4,1
176498,CommAut Student Support,ADMINISTRATIVE OFFICER 4 96%,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,"Education and Training, Administration and Business Services",1,,17,2
176504,IT Technician,ADMINISTRATIVE OFFICER 4,Department of Education,Darwin,Fixed (Temporary) - Full Time,YES,"Education and Training, Administration and Business Services, Information and Communication Technology (ICT)",1,,15,1
176508,Senior Project Manager,TECHNICAL 6,"Department of Infrastructure, Planning and Logistics",Palmerston,Ongoing (Permanent) - Full Time,,Program and Project Management,1,,0,0
176514,Senior Audiologist,PROFESSIONAL 3,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Professional, Allied Health and Health Care Services, Medical",1,,4,1
176518,Customer Service Officer,ADMINISTRATIVE OFFICER 3,Department of Trade Business and Innovation,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Accounting and Finance",1,,111,0
176520,Project Manager – Building,TECHNICAL 5,"Department of Infrastructure, Planning and Logistics",Palmerston,Ongoing (Permanent) - Full Time,,"Construction, Architecture and Design, Trades, Maintenance and Services, Program and Project Management",1,,0,0
176521,Governance Officer,ADMINISTRATIVE OFFICER 7,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Legal, Professional",1,,20,1
176522,Executive Assistant,ADMINISTRATIVE OFFICER 4,"Department of Environment, Parks and Water Security",Palmerston,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Environment, Natural Resources and Conservation",1,,54,1
176528,Environmental Health Officer,"PROFESSIONAL 1, PROFESSIONAL 2",Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Professional, Allied Health and Health Care Services",1,,10,1
176537,Business Manager,ADMINISTRATIVE OFFICER 6,Department of Education,Palmerston,Ongoing (Permanent) - Full Time,,"Education and Training, Administration and Business Services",1,,21,1
176543,Assistant Principal,SENIOR TEACHER 4,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,Education and Training,1,,5,1
176550,Senior Service Delivery Coordinator,PWC SENIOR TECHNICAL COORDINATOR,Power and Water Corporation,Alice Springs,Ongoing (Permanent) - Full Time,,"Trades, Maintenance and Services, Executive and Senior Management",1,,6,1
176559,VIP Fleet Driver,PHYSICAL 2 - RDO,Department of the Chief Minister and Cabinet,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Trades, Maintenance and Services",1,,50,1
176560,Group Home Manager,"SENIOR ADMINISTRATIVE OFFICER 1, SENIOR PROFESSIONAL OFFICER 1",Department of Health,Alice Springs,Fixed (Temporary) - Full Time,,"Aged and Disability Care, Allied Health and Health Care Services",1,,4,0
176580,Operations Manager,SENIOR ADMINISTRATIVE OFFICER 1,Department of Health,Nhulunbuy,Fixed (Temporary) - Full Time,,"Executive and Senior Management, Allied Health and Health Care Services, Administration and Business Services",1,,25,0
176584,School Counsellor,PROFESSIONAL 3,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,,"Professional, Education and Training",1,,0,0
176585,Divisional Financial Support Officer,ADMINISTRATIVE OFFICER 6,Territory Families,Darwin,Fixed (Temporary) - Full Time,,Accounting and Finance,1,,13,1
176587,"Nurse Management Consultant, Palliative Care ",NURSE LEVEL 6,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,3,1
176589,Assistant Principal,SENIOR TEACHER 3,Department of Education,Papunya,Fixed (Temporary) - Full Time,,Education and Training,1,,8,0
176594,Chief District Ranger,TECHNICAL 5,"Department of Tourism, Sport and Culture",Katherine,Ongoing (Permanent) - Full Time,,"Tourism and Culture, Agriculture, Animal and Horticulture, Environment, Natural Resources and Conservation",1,,2,1
176595,Senior Ranger,TECHNICAL 3,"Department of Tourism, Sport and Culture",Borroloola,Ongoing (Permanent) - Full Time,,"Tourism and Culture, Agriculture, Animal and Horticulture, Environment, Natural Resources and Conservation",1,,4,0
176597,Student Administration Management System and Front Office Manager,ADMINISTRATIVE OFFICER 4,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Education and Training",1,,46,1
176599,Senior Project Manager,TECHNICAL 6,"Department of Infrastructure, Planning and Logistics",Palmerston,Fixed (Temporary) - Full Time,,"Program and Project Management, Trades, Maintenance and Services, Construction, Architecture and Design, Administration and Business Services",1,,14,1
176602,Senior Ranger,TECHNICAL 3 - RDO,"Department of Tourism, Sport and Culture",Nathan River,Ongoing (Permanent) - Full Time,,Tourism and Culture,1,,3,1
176604,Preschool Teacher in Charge,CLASSROOM TEACHER,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,Education and Training,1,,6,1
176606,Senior Clinician,PROFESSIONAL 3,Territory Families,Alice Springs,Ongoing (Permanent) - Full Time,,"Child Protection, Professional, Social Work",1,,2,0
176609,Ranger,TECHNICAL 2 - RDO,"Department of Tourism, Sport and Culture",Darwin,Ongoing (Permanent) - Full Time,,"Environment, Natural Resources and Conservation, Tourism and Culture",1,,39,1
176613,Digital Engagement Officer,ADMINISTRATIVE OFFICER 6,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Communication, Media and Public Relations, Administration and Business Services",1,,25,0
176619,Senior Regulatory Officer,ADMINISTRATIVE OFFICER 7,Department of Treasury and Finance,Darwin,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Administration and Business Services, Procurement, Grants and Contract Management, Program and Project Management",1,,5,1
176622,Dental Therapist,PROFESSIONAL 2,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,Allied Health and Health Care Services,1,,7,1
176631,Clinical Nurse Educator - Renal,NURSE LEVEL 4 RDO,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,2,1
176634,Senior Teacher Special Education,SENIOR TEACHER 1,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,,Education and Training,1,,2,1
176638,Business Manager,ADMINISTRATIVE OFFICER 6,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Education and Training",1,,30,1
176642,Principal,PRINCIPALS (NON CONTRACT) TP2,Department of Education,Ti Tree,Ongoing (Permanent) - Full Time,,Education and Training,1,,3,1
176667,"Senior Court Officer, Registry",ADMINISTRATIVE OFFICER 4,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Legal",1,,22,1
176668,Senior Project Manager Hydraulic,TECHNICAL 6,"Department of Infrastructure, Planning and Logistics",Palmerston,Ongoing (Permanent) - Full Time,,"Trades, Maintenance and Services, Program and Project Management",1,,7,1
176675,Customer Service Officer IES ,PWC BAND 1 ADMIN CORPORATE SERVICES FT,Power and Water Corporation,Alice Springs,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Accounting and Finance",1,,33,1
176678,Manager Policy and Secretariat,SENIOR ADMINISTRATIVE OFFICER 1,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Education and Training",1,,13,1
176682,Clerk's Associate ,ADMINISTRATIVE OFFICER 4,Department of the Legislative Assembly,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Legal",1,,39,1
176688,"Specialist Physician, Palliative Care","SPECIALIST CLINICIAN, SENIOR SPECIALIST CLINICIAN",Department of Health,Alice Springs,Fixed (Temporary) - Full Time,,Medical,1,,0,0
176691,Classroom Teacher,CLASSROOM TEACHER,Department of Education,Palmerston,Ongoing (Permanent) - Full Time,,Education and Training,,Several,48,7
176693,"Clinical Nurse Specialist, Forensic Mental Health",NURSE LEVEL 4 RDO,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",,Several,3,0
176695,"Clinical Nurse Specialist, Forensic Mental Health",NURSE LEVEL 4 RDO,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",,Several,7,0
176698,Throughcare Coordinator,ADMINISTRATIVE OFFICER 4,Department of the Attorney-General and Justice,Palmerston,Ongoing (Permanent) - Full Time,,"Prison Services, Administration and Business Services",1,,21,1
176702,Occupational Therapist,PROFESSIONAL 2,Department of Health,"Darwin, Palmerston",Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Medical, Professional",1,,5,1
176703,Education Advisor Positive Learning Centre,SENIOR TEACHER 1,Department of Education,Palmerston,Fixed (Temporary) - Full Time,YES,Education and Training,1,,7,1
176704,Manager Water Demand,PWC BAND 4 PROFESSIONAL FT,Power and Water Corporation,"Alice Springs, Darwin",Fixed (Temporary) - Full Time,,"Environment, Natural Resources and Conservation, Administration and Business Services, Engineering, Executive and Senior Management, Program and Project Management, Science",1,,8,1
176705,Stay Play Learn Family Teacher,CLASSROOM TEACHER,Department of Education,Peppimenarti,Fixed (Temporary) - Part Time,,Education and Training,1,,1,0
176707,"Rural Generalist, Palliative Care",RURAL GENERALIST RG1-RG3,Department of Health,Alice Springs,Fixed (Temporary) - Part Time,,Medical,,Several,3,3
176712,Music Teacher,CLASSROOM TEACHER,Department of Education,Milyakburra,Fixed (Temporary) - Full Time,,Education and Training,1,,4,0
176724,Library Technician,ADMINISTRATIVE OFFICER 3,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,,"Administration and Business Services, Education and Training, Information and Records Management",1,,10,2
176725,Prisoner Employment Officer,ADMINISTRATIVE OFFICER 5,Department of the Attorney-General and Justice,Alice Springs,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Prison Services",1,,30,2
176739,Senior Teacher - Primary,SENIOR TEACHER 1,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,Education and Training,1,,6,1
176753,Systems Developer ,ADMINISTRATIVE OFFICER 5,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Information and Communication Technology (ICT), Administration and Business Services",1,,12,1
176759,Clinical Dietitian,PROFESSIONAL 2,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,Allied Health and Health Care Services,1,,4,0
176762,Clinical Dietitian,PROFESSIONAL 2,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,,Allied Health and Health Care Services,1,,1,0
176763,IT Support Officer,ADMINISTRATIVE OFFICER 4,Department of Corporate and Digital Development ,Palmerston,Fixed (Temporary) - Full Time,,"Information and Communication Technology (ICT), Administration and Business Services",1,,31,0
176766,Finance Officer,ADMINISTRATIVE OFFICER 4,Department of Education,Darwin,Fixed (Temporary) - Full Time,,"Accounting and Finance, Administration and Business Services",1,,63,1
176770,Reliability and Performance Engineer,TGEN BAND 3 PROFESSIONAL,Territory Generation,Darwin,Ongoing (Permanent) - Full Time,,"Engineering, Professional",1,,48,1
176772,Teaching Principal,PRINCIPALS (NON CONTRACT) TP1,Department of Education,Wooliana-Daly River,Ongoing (Permanent) - Full Time,,Education and Training,1,,8,1
176774,Senior Manager Policy,SENIOR ADMINISTRATIVE OFFICER 1,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Education and Training",1,,7,1
176775,Teaching Principal,PRINCIPALS (NON CONTRACT) TP1,Department of Education,Douglas Daly,Ongoing (Permanent) - Full Time,,Education and Training,1,,5,1
176776,Principal,EXECUTIVE CONTRACT PRINCIPAL LEVEL 2,Department of Education,Warruwi,Fixed (Temporary) - Full Time,YES,"Education and Training, Executive and Senior Management",1,,10,1
176778,Teaching Principal ,PRINCIPALS (NON CONTRACT) TP1,Department of Education,Nganambala,Fixed (Temporary) - Full Time,YES,Education and Training,1,,3,0
176780,Control Room Coordinator ,PWC BAND 4 ADMIN CORPORATE SERVICES FT,Power and Water Corporation,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Program and Project Management, Human Resources and Work Health Safety",1,,16,1
