Name,Physical Address,Postal Address,Region,URI,Email,Telephone Number,Fax Number,Sector,Is FAFT School,Is Pre School,Is Primary School,Is Middle School,Is Senior School,Principal,NTG Remote Definition
Larapinta Primary School,"22 Albrecht Dr, Alice Springs, NT","PO Box 9021, ALICE SPRINGS, 0871, NT",Central,http://www.larapintaprimary.nt.edu.au,larapinta.primary@education.nt.gov.au,(08) 895 85155,,Government,Yes,Yes,Yes,No,No,Brenda Jolley,Urban
Larrakeyah Pre School,"3 Packard St, Larrakeyah, NT",", , , ",Darwin,,,(08) 8981 9091,(08) 8981 9062,,No,Yes,No,No,No,,
Larrakeyah Primary School,"3 Packard St, Larrakeyah, 0820, NT","PO Box 412, DARWIN, 0801, NT",Darwin,http://www.larrakeyahprimary.nt.edu.au,larrakeyah.admin@education.nt.gov.au,(08) 8981 3211,(08) 8981 9062,Government,No,Yes,Yes,No,No,Fathma Mauger,Urban
Laynhapuy Homelands School,"Galpu Rd, Yirrkala, NT","PMB 747, Nhulunbuy, 0881, NT",East Arnhem,n/a,lhs.admin@ntschools.net,(08) 898 71224,(08) 8987 1981,Government,Yes,No,Yes,Yes,Yes,Abigail White,Remote Category 1
Leanyer Pre School,"114 Leanyer Dr, Leanyer, NT",", , , ",Darwin,,,(08) 8927 4022,(08) 8927 2566,,No,Yes,No,No,No,,
Leanyer Primary School,"114 Leanyer Drive,, Leanyer, 0812, NT","114 Leanyer Drive, LEANYER, 0812, NT",Darwin,http://leanyerschool.nt.edu.au,admin.leanyer@education.nt.gov.au,(08) 8927 4022,(08) 8927 2566,Government,No,Yes,Yes,No,No,Leah Crockford,Urban
Living Waters Lutheran School,"Corner Albrecht Drive and Kramer Street, Alice Springs, NT","PO Box 8869, Alice Springs, 0871, NT",Central,tba,lisa.goldsworthy@ntschools.net,(08) 8950 0700,(08) 8955 0435,Independent,No,No,Yes,No,No,Lisa Goldsworthy,
Ltyentye Apurte Catholic School,"35 Church Street, Santa Teresa (Ltyenty Apurte), NT","Santa Teresa, PMB 221, via A/Springs, 0871, NT",Central,http://www.lacecnt.catholic.edu.au,la.admin@nt.catholic.edu.au,(08) 8956 0937,(08) 8956 0963,Catholic,No,Yes,Yes,Yes,No,Justin Colley,Remote Category 2
Ludmilla Pre School,"41 Bagot Rd, Ludmilla, NT",", , , ",Darwin,,,(08) 898 37889,(08) 8999 3232,,No,Yes,No,No,No,,
Ludmilla Primary School,"41 Bagot Rd, Ludmilla, 0820, NT","PO Box 39945, WINNELLIE, 0821, NT",Darwin,http://www.ludmillaprimary.nt.edu.au,admin.ludmilla@education.nt.gov.au,(08) 898 37888,n/a,Government,Yes,Yes,Yes,No,No,Carol Putica,Urban
MacFarlane Pre School,"Grevillea Rd, Katherine East, NT",", , , ",Big Rivers,,,(08) 8972 3069,(08) 8972 1966,,No,Yes,No,No,No,,
MacFarlane Primary School,"42 Grevillea Rd, Katherine East, 0850, NT","42 Grevillea Road, KATHERINE EAST, 0850, NT",Big Rivers,http://www.macfarlaneprimary.nt.edu.au,admin.macfasch@education.nt.gov.au,(08) 896 51700,,Government,Yes,Yes,Yes,No,No,Philip Russell,Urban
Mackillop Catholic College,"285 Farrar Boulevard, Johnston, NT","P O Box 2608, Palmerston, 0831, NT",Top End,www.mackillopnt.catholic.edu.au,mackillopcollege@nt.catholic.edu.au,08 8930 5757,08 8930 5700,Catholic,No,No,No,Yes,Yes,Lucas Hurley,
Malak Pre School,"45 Malak Cres, Malak, NT",", , , ",Darwin,,,(08) 899 77600,,,No,Yes,No,No,No,,
Malak Primary School,"45 Malak Cres, Malak, 0812, NT","45 Malak Crescent, MALAK, 0812, NT",Darwin,http://www.malakprimary.nt.edu.au,admin.malak@education.nt.gov.au,(08) 899 77600,,Government,Yes,Yes,Yes,No,No,Samantha Brannelly,Urban
Mamaruni School,"N/A, Minjilang (Croker Is), NT","PMB 47, via Winnellie, 0822, NT",Top End,http://www.mamarunischool.nt.edu.au/,tracy.brislane@education.nt.gov.au,(08) 8979 0255,(08) 8979 0256,Government,Yes,Yes,Yes,Yes,No,Tracy Brislane,Remote Category 3
Maningrida College,"n/a, Maningrida, 0822, NT","PMB 67, via Winnellie, 0822, NT",Top End,http://www.maningridacollege.nt.edu.au/,maningrida.cec@education.nt.gov.au,(08) 8979 5950,,Government,No,Yes,Yes,Yes,Yes,Brooke Sweeney,Remote Catefory 3
Manunda Terrace Pre School,"31 Manunda Tce, Karama, NT",", , , ",Darwin,,,(08) 899 77366,,,No,Yes,No,No,No,,
Manunda Terrace Primary School,"31 Manunda Tce, Karama, 0812, NT","31 Manunda Tce, KARAMA, 0812, NT",Darwin,https://www.manundaterraceprimaryschool.com/,manunda.school@education.nt.gov.au,(08) 899 77366,,Government,No,Yes,Yes,No,No,Kathryn Stanislaus,Urban
Manyallaluk School,"N/A, Manyallaluk (Eva Valley), NT","PO Box 271, Katherine, 0851, Nt",Big Rivers,n/a,admin.manyasch@education.nt.gov.au,(08) 8975 4438,(08) 8975 4563,Government,No,Yes,Yes,No,No,Ben Kleinig,Remote Category 2
Mapuru Yirralka College,"Dhabulu Road, Mapuru, NT 0822, NT","PMB 301, Winnellie, 0821, NT",East Arnhem,http://www.yirralka.nt.edu.au,principal@yirralka.nt.ed.au,(08) 8970 4994,8970 4994,Independent,No,No,No,No,No,Debra Bateman,
Marrara Christian College,"110 Amy Johnson Ave, Marrara, NT","PO Box 84, Karama, 0812, NT",Darwin,http://www.mcc.nt.edu.au,admin.mcc@ntschools.net,(08) 8920 2000,(08) 8920 2001,Christian,No,Yes,Yes,Yes,Yes,Bill Rusin,
Mataranka School,"Roper Terrace, Mataranka, 0852, NT","PO Box 4022, Mataranka, 0852, NT",Big Rivers,n/a,telka.zotz@education.nt.gov.au,(08) 8975 4543,(08) 8975 4605,Government,Yes,Yes,Yes,Yes,No,Telka Zotz,Remote Category 1
Mbunghara School,"N/A, Mbunghara, NT","PMB 242, via Alice Springs, 0872, NT",Central,n/a,mbunghara.school@education.nt.gov.au,(08) 8956 8503,(08) 8956 8503,Government,No,No,Yes,Yes,Yes,Makhdoom Bhatti,Remote Category 3
Middle Point School,"615 Anzac Pde, Middle Point, NT","PO Box 96, Humpty Doo, 0836, NT",Top End,http://www.middlepointschool.nt.edu.au/,middle.pt@education.nt.gov.au,(08) 8988 1688,(08) 8988 8023,Government,No,No,Yes,No,No,Stacey Marsh,Urban
Milikapiti School,"N/A, Milikapiti (Snake Bay), NT","PMB 96, via Winnellie, 0822, NT",Top End,n/a,gabrielle.field@education.nt.gov.au,(08) 8978 3960,(08) 8978 3925,Government,Yes,Yes,Yes,Yes,No,Gabrielle Field,Remote Category 2
Milingimbi School,"N/A, Milingimbi, 0822, NT","PMB 54, Milingimbi, via WINNELLIE, 0822, NT",East Arnhem,n/a,adam.dicks1@education.nt.gov.au,(08) 8987 9902,(08) 8987 9926,Government,Yes,Yes,Yes,Yes,Yes,Adam Dicks,Remote Category 3
Milkwood Steiner School,"107 Boulter Road, Berrimah, NT","PO Box 357, Berrimah, 0828, NT",Darwin,http://www.milkwood.nt.edu.au/,admin@milkwood.nt.edu.au,08 8947 1669,,Independent,No,Yes,Yes,No,No,Netanela Mizrahi,
Millner Pre School,"41 Sabine Rd, Millner, NT",", , , ",Darwin,,,(08) 792 30333,,,No,Yes,No,No,No,,
Millner Primary School,"41 Sabine Rd, Millner, 0810, NT","41 Sabine Rd, MILLNER, 0810, NT",Darwin,http://www.millnerprimary.nt.edu.au,admin.millnerps@education.nt.gov.au,(08) 792 30333,,Government,No,Yes,Yes,No,No,Jessica Goveas,Urban
Milyakburra School,"N/A, Milyakburra (Bickerton Island), NT","PMB 5, Bickerton Island, via Winnellie, 0822, NT",East Arnhem,n/a,angela.lawrence@education.nt.gov.au,(08) 8987 6084,,Government,No,Yes,Yes,Yes,Yes,Angela Lawrence,Remote Category 3
Mimik-Ga Centre,"4 Henbury Ave, Wanguri, 0810, NT","PO Box 40519, Casuarina, 0811, NT",Darwin,n/a,admin.mimik-ga@education.nt.gov.au,(08) 898 37900,(08) 8945 2193,Government,Yes,Yes,Yes,No,No,Angela Seymour,Urban
Minyerri Pre School,"N/A, Minyerri (Hodgson Downs), NT",", , , ",Big Rivers,,,(08) 8975 9972,(08) 8975 9893,,No,Yes,No,No,No,,
Minyerri School,"N/A, Minyerri (Hodgson Downs), NT","PMB 40, KATHERINE, 0851, NT",Big Rivers,n/a,garry.reeve@education.nt.gov.au,(08) 8975 9972,(08) 8975 9893,Government,Yes,Yes,Yes,Yes,Yes,Garry Reeve,Remote Category 3
Moil Pre School,"Moil Crescent, Moil, NT",", , , ",Darwin,,,(08) 898 37535,(08) 8920 6869,,No,Yes,No,No,No,,
Moil Primary School,"37 Lanyon Tce, Moil, 0810, NT","37 Lanyon Tce, MOIL, 0810, NT",Darwin,http://www.moilschool.nt.edu.au,admin.moilsch@education.nt.gov.au,(08) 898 37530,(08) 8920 6869,Government,No,No,No,No,No,Erin Ranie,Urban
Mother Teresa Catholic Primary School,"16 Ginger St, Zuccoli, NT","PO Box 1125, Palmerston, 0830, NT",Top End,www.mtcpsnt.catholic.edu.au,principal.motherteresa@nt.catholic.edu.au,(08) 7969 5600,,Catholic,No,No,Yes,No,No,Reuben Johnson,
Moulden Pre School,"103 Bonson Tce, Moulden, NT",", , , ",Top End,,,(08) 8930 5965,(08) 8932 3214,,No,Yes,No,No,No,,
Moulden Primary School,"103 Bonson Tce, Moulden, 0830, NT","PO Box 80, PALMERSTON, 0831, NT",Top End,not available,moulden.primary@education.nt.gov.au,(08) 8930 5900,(08) 8932 3214,Government,No,Yes,Yes,No,No,Sylvia Gregory,Urban
Mount Allan School,"N/A, Yuelamu, NT","PMB 67, Yuelamu via Alice Springs, 0872, NT",Central,n/a,dowreen.lata@education.nt.gov.au,(08) 8956 8860,(08) 8956 8846,Government,No,Yes,Yes,Yes,Yes,Dowreen Lata,Remote Category 3
Mulga Bore School,"n/a, Mulga Bore Community, NT","PMB 18, via Alice Springs, 0872, NT",Central,n/a,david.ward1@education.nt.gov.au,(08) 8956 9824,(08) 8956 9185,Government,No,Yes,Yes,Yes,Yes,David Ward,Remote Category 3
Murray Downs School,"Outstation, Murray Downs(Imangara), NT","PMB 48, Alice Springs, 0872, NT",Barkly,n/a,mitchell.valentine@education.nt.gov.au,(08) 8964 1951,(08) 8964 1993,Government,No,Yes,Yes,Yes,No,Mitchell Valentine,Remote Category 3
Murrupurtiyanuwu Catholic Primary School,"Kerinauia Highway, Wurrumiyanga NT 0822, NT","PO Box 45, Wurrumiyanga, Bathurst Island, via Winnellie, 0822, NT",Top End,http://www.mcpsbathurst.com.au,admin.mcs@nt.catholic.edu.au,(08) 8978 3986,(08) 8978 3922,Catholic,No,Yes,Yes,No,No,Kellie McGinlay,
Mutitjulu School,"Mutitjulu, Ayers Rock, NT","PO Box 121, Yulara, 0872, NT",Central,n/a,mutitjulu.school@education.nt.gov.au,(08) 8956 2547,(08) 8956 2176,Government,No,No,Yes,Yes,No,Trish Noy,Remote Category 1
Nakara Pre School,"35 Nakara Tce, Nakara, NT",", , , ",Darwin,,,(08) 8927 9823,(08) 8927 7994,,No,Yes,No,No,No,,
Nakara Primary School,"35 Nakara Tce, Nakara, 0810, NT","35 Nakara Tce, Nakara, 0810, NT",Darwin,https://www.nakaraprimary.nt.edu.au,nakara.primary@education.nt.gov.au,(08) 8927 9823,(08) 8927 7994,Government,No,Yes,Yes,No,No,Liza Parr,Urban
Nathalie Gorey Pre School,"80 Spearwood Rd, Alice Springs, NT",", , , ",Central,,,(08) 8952 1186,(08) 8953 2912,,No,Yes,No,No,No,,
Nawarddeken Academy Mamadawerre School,"Building 6, Mamadawerre & Manmoyi Community, tba, NT","tba, PO Box 37620 Winnellie  NT, 0821, NT",Top End,https://www.nawarddeken.org.au/,admin@nawarddeken.org.au,0427 816 431,,Independent,No,Yes,Yes,No,No,Olga Scholes,Remote Category 3
Nawarddeken Academy Manmoyi School,"Building 6, Mamadawerre & Manmoyi Community, tba, NT","tba, PO Box 37620 Winnellie  NT, 0821, NT",Top End,https://www.nawarddeken.org.au/,admin@nawarddeken.org.au,0427 816 431,,Independent,No,Yes,Yes,No,No,Olga Scholes,Remote Category 3
Nawardekken Academy Kabulwarnamyo School,"Building 2, Kabulwarnamyo, tba, NT","tba, PO Box 37620 Winnellie  NT, 0821, NT",Top End,https://www.nawarddeken.org.au/,admin@nawarddeken.org.au,0427 816 431,,Independent,No,Yes,Yes,Yes,No,Olga Scholes,Remote Category 3
Nemarluk School,"30 Styles St, Alawa, 0810, NT","PO Box 39729, WINNELLIE, 0821, NT",Darwin,http://nemarlukschool.com.au,admin.nemarluk@education.nt.gov.au,(08) 898 50400,,Government,No,Yes,Yes,No,No,Virg Hughes,Urban
Neutral Junction School,"Stuart Hwy, Neutral Junction, NT","Neutral Junction, via Alice Springs, 0872, NT",Barkly,n/a,leanne.forbes@education.nt.gov.au,(08) 8956 9754,(08) 8956 9625,Government,No,No,Yes,Yes,No,Leanne Forbes,Remote Category 2
Newcastle Waters School,"11 Drovers Dr, Newcastle Waters, NT","Newcastle Waters Station, via Elliott, 0862, NT",Barkly,n/a,dave.oke@education.nt.gov.au,(08) 8964 4566,(08) 8964 4637,Government,No,Yes,Yes,Yes,No,Dave Oke,Remote Category 1
Nganambala School,"n/a, Emu Point, NT","PMB 218, Via Winnellie, 0822, NT",Top End,n/a,samuel.sailor@education.nt.gov.au,(08) 8978 2001,(08) 8978 2008,Government,No,Yes,Yes,Yes,No,Samuel Sailor,Remote Category 3
Nganmarriyanga School,"N/A, Palumpa, NT","PMB 85, via WINNELLIE, 0822, NT",Top End,http://www.nganmarriyangaschool.com,dannielle.cairns@education.nt.gov.au,(08) 8978 2380,(08) 8978 2575,Government,Yes,Yes,Yes,Yes,Yes,Dannielle Cairns,Remote Category 3
Ngukurr Pre School,"Bawuda St, Ngukurr, NT",", , , ",Big Rivers,,,(08) 8975 4680,(08) 8975 4681,,No,Yes,No,No,No,,
Ngukurr School,"Bawuda St, Ngukurr, 0852, NT","PMB 138, KATHERINE, 0851, NT",Big Rivers,n/a,ngukurr.cec@education.nt.gov.au,(08) 8975 4680,(08) 8975 4681,Government,Yes,Yes,Yes,Yes,Yes,David Panjer,Remote Category 3
Nhulunbuy Christian College,"26 Eugenia Avenue, Nhulunbuy, NT","PO Box 621, Nhulunbuy, 0881, NT",East Arnhem,http://www.ncc.nt.edu.au/,admin.ncc@ntschools.net,(08) 8965 2900,(08) 8987 2357,Christian,No,No,Yes,Yes,No,Mark Twine,
Nhulunbuy High School,"51 Matthew Flinders Way, Nhulunbuy, 0880, NT","PO Box 1096, NHULUNBUY, 0881, NT",East Arnhem,n/a,nhulunbuy.high@education.nt.gov.au,(08) 898 70844,(08) 8987 1944,Government,No,No,No,Yes,Yes,Brad Madden,Remote Category 1
Nhulunbuy Pre School,"36 Chesterfield Cct, Nhulunbuy, NT",", , , ",East Arnhem,,,(08) 8987 1056,(08) 8987 1056,,No,Yes,No,No,No,,
Nhulunbuy Primary School,"60 Chesterfield Cct, Nhulunbuy, 0880, NT","PO Box 321, NHULUNBUY, 0881, NT",East Arnhem,http://www.nhulunbuyprimary.nt.edu.au/,nps.frontoffice@education.nt.gov.au,(08) 898 70022,,Government,Yes,Yes,Yes,No,No,Rachel Blundell,Remote Category 1
Nightcliff Middle School,"90 Aralia St, Rapid Creek, 0810, NT","90 Aralia St, NIGHTCLIFF, 0810, NT",Darwin,http://www.nightcliffmiddle.nt.edu.au,admin.nightms@education.nt.gov.au,(08) 898 37677,,Government,No,No,No,Yes,No,Eva Kokkinomagoulos,Urban
Nightcliff Pre School,"17 Pandanus St, Nightcliff, NT",", , , ",Darwin,,,(08) 8948 8488,(08) 8948 8499,,No,Yes,No,No,No,,
Nightcliff Primary School,"17 Pandanus St, Nightcliff, 0810, NT","PO BOX 798, NIGHTCLIFF, 0810, NT",Darwin,http://www.nightcliffprimary.nt.edu.au,nightcliff.ps@education.nt.gov.au,(08) 8948 8488,(08) 8948 8499,Government,No,No,Yes,No,No,Ranae Graham,Urban
NT Christian College,", Marrara, NT","PO Box 84, Karama, 0812, Unit 1 Strath Village, 43 Berrimah Road NT",Darwin,https://www.ntcc.nt.edu.au/,admin.ntcc@ntschools.net,(08) 8920 2000,,Christian,No,No,No,No,Yes,Luke Willsmore,
NT Music School,"60 Matthews Rd, Wulagi 0812, NT","PO Box 455, Sanderson, 0813, NT",Darwin,http://www.ntms.net.au,nt.musicschool@education.nt.gov.au,(08) 896 35550,(08) 8963 5569,Government,No,No,Yes,Yes,Yes,Bill Grose,Urban
NT School of Distance Education,"The Bullocky Point Education Precinct, Atkins Dr, The Gardens, 0820, NT","PO Box 40471, Casuarina, 0811, NT",Darwin,http://www.ntsde.nt.edu.au,ntsde.admin@education.nt.gov.au,(08) 892 22222,(08) 892 22258,Government,No,No,No,No,Yes,Anne White,Urban
Ntaria School,"N/A, Hermannsburg (Ntaria), NT","PMB 4, via Alice Springs, 0872, NT",Central,n/a,kim.omar@education.nt.gov.au,(08) 8956 7424,(08) 8956 7409,Government,Yes,Yes,Yes,Yes,Yes,Kim Omar,Remote Category 2
Numbulwar Pre School,"N/A, Numbulwar, NT",", , , ",Big Rivers,,,(08) 8975 4650,(08) 8975 4651,,No,Yes,No,No,No,,
Numbulwar School,"N/A, Numbulwar, NT","PMB 68, WINELLIE, 0822, NT",Big Rivers,n/a,numbulwar.school@education.nt.gov.au,(08) 8975 4650,,Government,Yes,Yes,Yes,Yes,Yes,Merryn Curley,Remote Category 3
Nyangatjatjara College,"n/a, Kaltukatjara, NT","PO Box 171, Yulara, 0872, NT",Central,https://nyangatjatjara.nt.edu.au/,ncollege@octa4.net.au,(08) 8956 2257,(08) 8956 2466,Independent,No,No,Yes,Yes,Yes,Mike Tucker,
Nyangatjatjara College - Docker Rvr Campus,"4 Tjala Place, Kaltukatjara (Docker River), NT","PO Box 171, Yulara, 0872, NT",Central,https://nyangatjatjara.nt.edu.au/,ceo@nyangatjatjaracollege.org.au,(08) 8956 7098,(08) 8956 7036,Independent,No,No,No,Yes,No,Mike Tucker,
Nyangatjatjara College - Imanpa Campus,"8 Mumu Rd (7-10), Imanpa, NT","PO Box 171, Yulara, 0872, NT",Central,https://nyangatjatjara.nt.edu.au/,ceo@nyangatjatjaracollege.org.au,(08) 8956 7038,(08) 8956 7038,Independent,No,No,No,Yes,No,Mike Tucker,
Nyangatjatjara College - Mutitjulu Campus,"1680 Uluru Rd, Yulara, NT","PO Box 171, Yulara, 0872, NT",Central,https://nyangatjatjara.nt.edu.au/,ceo@nyangatjatjaracollege.or.au,(08) 8956 2555,(08) 8956 2155,Independent,No,No,No,Yes,No,Mike Tucker,
Nyirripi School,"N/A, Nyirripi, NT","PMB 125, via Alice Springs, 0872, NT",Central,n/a,clarice.oleary@education.nt.gov.au,(08) 8956 8880,n/a,Government,No,No,Yes,No,No,Clarice OLeary,Remote Category 3
O'Loughlin Catholic College,"70 Mueller Rd, Karama, NT","P O Box 41911, Casuarina, 0811, NT",Darwin,http://www.oloughlin.nt.edu.au,secretary.oloughlin@nt.catholic.edu.au,(08) 8945 1277,(08) 8927 7140,Catholic,No,No,No,Yes,Yes,Megan Evans,
Our Lady of the Sacred Heart Catholic College - Alice Springs,"Sadadeen Rd, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",Central,http://www.olshalice.catholic.edu.au/,admin.olshalice@nt.catholic.edu.au,(08) 8950 6400,,Catholic,No,No,No,Yes,Yes,Paul Melloy,
Our Lady of the Sacred Heart Catholic College - Bath Street Campus,"5 Bath St, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",Central,http://www.olshalice.nt.edu.au/,admin.olshalice@nt.catholic.edu.au,(08) 8950 6400,,Catholic,No,No,Yes,Yes,No,Paul Melloy,
Our Lady of the Sacred Heart Catholic College - Traeger Campus,"8 Traeger Ave, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",Central,http://www.olshalice.catholic.edu.au/,admin.olshalice@nt.catholic.edu.au,(08) 8950 6400,,Catholic,No,No,Yes,Yes,No,Paul Melloy,
Our Lady of the Sacred Heart Thamarrurr Catholic College,"Wadeye, Port Keats, NT","Wadeye, Port Keats, via Winnellie, 0822, NT",Top End,www.olshnt.catholic.edu.au,admin.olshtcs@nt.catholic.edu.au,(08) 8978 2477,(08) 8978 2300,Catholic,Yes,Yes,Yes,Yes,Yes,Jacqueline Conboy,
Owen Springs Education Centre,"Stuart Highway, Alice Springs, 0870, NT","PO Box 4856, Alice Springs, 0871, NT",Central,n/a,joel.hohn@education.nt.gov.au,(08) 8958 5088 / (08) 8958 5089,n/a,Government,No,No,No,No,No,Joel Hohn,Urban
Palmerston Christian College,"50 Waler Road, Marlow Lagoon, Marlow Lagoon, NT","PO Box 113, Palmerston, 0831, NT",Top End,https://www.pcc.nt.edu.au/,admin.pcc@ntschools.net,(08) 7922 5600,(08) 8932 3440,Christian,No,No,Yes,Yes,No,Luke Willsmore,
Palmerston College,"10 Tilston Ave, Driver, 0830, NT","PO Box 8, PALMERSTON, , NT",Top End,http://www.palmerstoncollege.nt.edu.au,Palmerston.college@education.nt.gov.au,(08) 899 77999,,Government,No,No,No,Yes,Yes,Maisie Floyd,Urban
Papunya School,"N/A, Papunya, 0872, NT","PMB 77, via Alice Springs, 0872, NT",Central,n/a,papunya.admin@education.nt.gov.au,(08) 8956 8515,,Government,Yes,Yes,Yes,Yes,Yes,Christine Munro,Remote Category 3
Parap Pre School,"61 Ross Smith Ave, Parap, NT",", , , ",Darwin,,,(08) 8981 5146,(08) 8941 9269,,No,Yes,No,No,No,,
Parap Primary School,"52 Urquhart Street, Parap, 0820, NT","PO Box 69, PARAP, 0804, NT",Darwin,https://www.parapprimary.com.au,parapps.office@education.nt.gov.au,(08) 898 22922,(08) 8941 2606,Government,No,Yes,Yes,No,No,Bianca Hyke,Urban
Peppimenarti School,"N/A, Peppimenarti, NT","PMB 49, via Winnellie, 0822, NT",Top End,n/a,eric.barrows@education.nt.gov.au,(08) 8978 2455,(08) 8978 2578,Government,Yes,Yes,Yes,Yes,No,Eric Barrows,Remote Category 3
Pigeon Hole School,"N/A, Pigeon Hole, NT","PMB 10, via Katherine, 0852, NT",Big Rivers,n/a,anne.pollock@education.nt.gov.au,(08) 8975 0812,(08) 8975 0745,Government,No,Yes,Yes,No,No,Anne Pollock,Remote Category 3
Pine Creek School,"N/A, Pine Creek, 0847, NT","PO Box 196, Pine Creek, 0847, NT",Big Rivers,,jo.moon@education.nt.gov.au,(08) 8976 1228,(08) 8976 1246,Government,No,Yes,Yes,No,No,Jo Moon,Remote Special Category
Pularumpi School,"Pularumpi, Pirlangimpi, NT","PMB 51, via Winnellie, 0822, NT",Top End,n/a,kane.griffin@education.nt.gov.au,(08) 8978 3961,(08) 8978 3723,Government,Yes,Yes,Yes,Yes,No,Kane Griffin,Remote Category 2
Ramingining Pre School,"N/A, Ramingining, NT",", , , ",East Arnhem,,,(08) 8979 7924,(08) 8979 7916,,No,Yes,No,No,No,,
Ramingining School,"133Lewangu Drive, Ramingining, 0822, NT","PMB 125, via WINNELLIE, 0822, NT",East Arnhem,n/a,deanne.kathagen@education.nt.gov.au,(08) 8979 7924,n/a,Government,Yes,Yes,Yes,Yes,Yes,Deanne Kathagen,Remote Category 3
Robinson River School,"N/A, Robinson River, NT","PMB 145, Katherine, 0851, NT",Big Rivers,,theo.debeer@education.nt.gov.au,(08) 8975 9956,(08) 8975 9838,Government,Yes,Yes,Yes,Yes,Yes,Theo de Beer,Remote Category 3
Rockhampton Downs School,"Community ID 259, Wogyala, NT","PMB 34, Tennant Creek, 0862, NT",Barkly,n/a,aftab.shepherd@education.nt.gov.au,(08) 8964 4675,(08) 8964 4678,Government,No,No,Yes,Yes,No,Aftab Shepherd,Remote Category 3
Rona Glynn Pre School,"2 Mckay St, Alice Springs, NT",", , , ",Central,,,(08) 895 21792,(08) 8952 6524,,No,Yes,No,No,No,,
Rosebery Primary School,"Belyuen Road Rosebery, Rosebery, 0832, NT","PO Box 650, PALMERSTON, 0832, NT",Top End,http://roseberyprimary.nt.edu.au/,roseberyps.admin@education.nt.gov.au,(08) 792 30100,(08) 8930 5199,Government,No,Yes,Yes,No,No,Danielle Banicek,Urban
Ross Park Primary School,"7 Winnecke Ave, Alice Springs, 0870, NT","PO Box 364, ALICE SPRINGS, 0871, NT",Central,http://www.rossparkprimary.nt.edu.au,rosspark.school@ntschools.net,(08) 895 52000,(08) 8952 6524,Government,No,Yes,Yes,No,No,Penny Weily,Urban
Royal Darwin Hospital School,"Rocklands Drive, Tiwi, Tiwi, 0810, NT","C/o Nakara Primary School, Goodman St, NAKARA, 0810, NT",Darwin,n/a,tania.nicholls@education.nt.gov.au,(08) 8922 8736,(08) 89228252,Government,No,No,No,No,No,Tania Nicholls,Urban
Sacred Heart Catholic Primary School,"34 Emery Ave, Woodroffe, NT","PO Box 271, Palmerston, 0831, NT",Top End,http://www.shpsnt.catholic.edu.au/,admin.shps@nt.catholic.edu.au,(08) 8924 8700,(08) 8932 2388,Catholic,No,No,Yes,No,No,Stephen Versteegh,
Sadadeen Primary School,"80 Spearwood Rd, Alice Springs, 0870, NT","PO Box 2707, ALICE SPRINGS, 0871, NT",Central,https://www.sadadeenprimary.nt.edu.au/,sadadeen.primary@education.nt.gov.au,(08) 895 52299,,Government,Yes,Yes,Yes,No,No,Anthea Frossinakis,Urban
Sanderson Middle School,"60 Matthews Rd, Malak, 0812, NT","PO Box 189, KARAMA, 0813, NT",Darwin,https://www.sandersonmiddle.nt.edu.au/,sanderson.middle@education.nt.gov.au,(08) 7923 0500,,Government,No,No,No,Yes,No,Robert McIntosh,Urban
Sattler Christian College,"15 Sattler Cres, Bees Creek, NT","PO Box 1138,, Coolalinga, 0839, NT",Top End,https://scc.nt.edu.au,admin.scc@ntschools.net,7922 1500,(08) 8983 1297,Christian,No,No,Yes,Yes,No,Michael Tooler,
School of Sport Education NT,"1 Nemarluk Drive, Ludmilla, NT, 0820, NT","PO Box 42896, Casuarina, 0811, NT",Darwin,https://sporteducation.nt.edu.au,admin.ssnt@education.nt.gov.au,(08) 899 95700,,Government,No,No,Yes,Yes,Yes,Tim East,Urban
SEDA College NT,"5/90 Ross Smith Ave, Fannie Bay, 0820, NT","5/90 Ross Smith Ave, Fannie Bay, 0820, NT",Darwin,https://seda.nt.edu.au/,info@sedacollege.nt.edu.au,1300 337 332,n/a,Independent,No,No,No,No,Yes,Francis Gill,
Shepherdson College,"Wakirana St, Galiwinku, 0822, NT","PMB 74, via WINELLIE, 0822, NT",East Arnhem,n/a,principal.shepherdson@education.nt.gov.au,(08) 8987 9044,(08) 8987 9060,Government,Yes,Yes,Yes,Yes,Yes,Joe Hewett,Remote Category 3
Shepherdson Pre School,"Wakirana St, Galiwinku, NT",", , , ",East Arnhem,,,(08) 8987 9044,(08) 8987 9060,,No,Yes,No,No,No,,
St Francis of Assisi Catholic Primary School,"56 Challoner Cct, Humpty Doo, NT","PO Box 921, Humpty Doo, , NT",Top End,n/a,admin.sfas@nt.catholic.edu.au,(08) 8988 1212,(08) 8988 1514,Catholic,No,No,Yes,No,No,Jennifer Rudyard,
St Francis Xavier Catholic School,"7333 Daly River Rd, Nauiyu, NT","CMB 28, Daly River, 0822, NT",Top End,www.sfxnt.catholic.edu.au,admin.dalyriver@nt.catholic.edu.au,(08) 8978 2427,(08) 8978 2590,Catholic,No,Yes,Yes,Yes,No,Peter Baldry,
